OPERATOR,ATYPE,INCIDENT_DATE,STATE,AIRPORT,PHASE_OF_FLT,HEIGHT,SPEED,SPECIES,BIRDS_STRUCK,EFFECT,DAMAGE,COST_REPAIRS,PERSON,REMAINS_COLLECTED,REMARKS
SOUTHWEST AIRLINES,B-737-300,10/02/12 00:00:00,CA,LOS ANGELES INTL,Approach,,,Nashville warbler,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. SWA MX COLLECTED REMAINS FROM #2 ENG INLET COWLING WITH NO DMG REPTD.
SOUTHWEST AIRLINES,B-737-300,10/02/12 00:00:00,CA,METRO OAKLAND INTL,Climb,1000,155,Unknown bird,1,None,N,,Pilot,0,NO DMG.
SOUTHWEST AIRLINES,B-737-500,10/02/12 00:00:00,TX,DALLAS LOVE FIELD ARPT,Approach,4500,210,Unknown bird - small,1,None,N,,Pilot,0,"SMALL SMEAR OF REMAINS ON FUSELAGE ABOVE CAPT FRWD WINDSCREEN. LOCATION REPTD AS DIRECTLY OVER DOWNTOWN DALLAS, TX."
SOUTHWEST AIRLINES,B-737-800,10/02/12 00:00:00,,UNKNOWN,,,,Unknown bird,1,,N,,Pilot,0,"FOUND BIRDSTRIKE POSTFLT KDEN. DID NOT SEE ANY BIRDS IN FLT. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1."
UNITED AIRLINES,B-737-700,10/02/12 00:00:00,TX,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,Approach,2000,,Unknown bird - large,1,,N,,,0,ATIS WARNING. STRUCK A LRG BIRD APPROX 10 MILES FINAL TO RWY 27. AFTER LANDING PILOT REPTD SNARGE JUST BELOW COCKPIT WINDOW ON F/O SIDE.
UNITED AIRLINES,B-757-200,10/02/12 00:00:00,CO,DENVER INTL AIRPORT,Arrival,,,Horned lark,1,,,,Airport Operations,1,BIRD REMAINS COLLECTED FROM RWY. PHASE OF FLT WAS EITHER L/R OR APRCH.
UPS AIRLINES,B-757-200,10/02/12 00:00:00,KY,LOUISVILLE INTL ARPT-STANDIFORD FIELD,Approach,700,128,Unknown bird - small,1,None,N,,Air Transport Operations,0,"SAW 8 BIRDS. SMALL BLACK BIRD IN FLOCK. L2 WINDOW. DISTANE FROM ARPT REPTD AS 2.5,"
US AIRWAYS,A-319,10/02/12 00:00:00,NC,CHARLOTTE/DOUGLAS INTL ARPT,Landing Roll,0,,Unknown bird,1,None,N,,,0,ENCOUNTERED A BIRDSTRIKE ON LANDING. A/C LANDED W/O INCIDENT. NO DMG.
US COAST GUARD,LOCKHEED C-130,10/02/12 00:00:00,CA,SACRAMENTO MATHER ARPT,Approach,800,138,Unknown bird - medium,1,Other,N,,Air Transport Operations,0,DOING TOUCH AND GO PRACTICE.
AIR WISCONSIN AIRLINES,CRJ100/200,10/03/12 00:00:00,PA,PHILADELPHIA INTL,Climb,100,150,Unknown bird - small,1,None,N,,Pilot,0,
AIRTRAN AIRWAYS,B-737-700,10/03/12 00:00:00,CA,LOS ANGELES INTL,Approach,,,Swainson's thrush,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. SWA MX COLLECTED REMAINS FROM LT FWRD WING FLAP WITH NO DMG REPTD.
ALLEGIANT AIR,B-757-200,10/03/12 00:00:00,NV,MC CARRAN INTL ARPT,Approach,6000,180,Unknown bird - large,1,None,M?,100000,Pilot,0,FIST SIZED DENT TO FUSELAGE.
AMERICAN AIRLINES,MD-82,10/03/12 00:00:00,TX,SAN ANTONIO INTL,Landing Roll,0,,Red-tailed hawk,1,None,N,,Airport Operations,1,
AMERICAN AIRLINES,MD-83,10/03/12 00:00:00,TX,GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,Climb,1500,180,Unknown bird - small,1,None,N,,Pilot,0,NO DMG.
CSA AIR,C-208,10/03/12 00:00:00,WI,RHINELANDER-ONEIDA COUNTY,Landing Roll,0,,Horned lark,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. FAA 8692. WHOLE FEATHER.
DELTA AIR LINES,A-320,10/03/12 00:00:00,NY,LA GUARDIA ARPT,Approach,4000,,Rails,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. UNDETERMINED SPECIES OF RAIL. INSUFFICIENT MATERIAL FOR MORE SPECIFIC ID. DAL REPTD A BIRDSTRIKE FOR A320 PARKED AT DAL GATE C4. CREW UNAVAIL FOR INTERVIEW. DAL MX STATED CAPT HEARD A LOUD NOISE AT 4000 FEET AGL. WHEN HE CONDUCTED WALKAROUND HE NOTICED SNARGE ON LT SIDE OF NOSE SECTION. NO DMG TO A/C. SNARGE COLLECTED FROM LT NOSE SECTION AND SENT TO SI FOR ID.
FEDEX EXPRESS,DC-10-10,10/03/12 00:00:00,TN,MEMPHIS INTL,Approach,4700,250,Unknown bird,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,DC-10-10,10/03/12 00:00:00,TN,MEMPHIS INTL,Approach,500,135,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FEDEX EXPRESS,B-757-200,10/03/12 00:00:00,SC,GREENVILLE-SPARTANBURG INTL,Approach,1000,180,Unknown bird - small,1,None,N,,Air Transport Operations,0,NO DMG NOTED.
FRONTIER AIRLINES,A-319,10/03/12 00:00:00,TN,NASHVILLE INTL,Approach,1000,150,Unknown bird - small,1,None,N,,Pilot,0,SAW THE FLASH FROM THE BIRD AND HEARD THE THUMP AS IT HIT.
GOJET AIRLINES,CRJ700,10/03/12 00:00:00,VA,RICHMOND INTL,Approach,2000,150,Unknown bird - medium,1,None,N,,Airport Operations,0,"3 INCH X 15 INCH BLOOD SMEAR ON RADOME, CAPT SIDE. NO SKIN DMG OBSERVED ON A/C. LOCATION REPTD AS 5 MILE N KRIC ON ILS 16."
MESA AIRLINES,CRJ900,10/03/12 00:00:00,WV,NORTH CENTRAL WEST VIRGINIA ARPT,Approach,3400,200,Unknown bird - small,1,,N,,Pilot,0,INCIDENT ID 17549. INFO FOR THIS REPT SENT TO DATABASE MGR WHO FILED ONLINE REPT.
PSA AIRLINES,CRJ100/200,10/03/12 00:00:00,TN,LOVELL FIELD ARPT,Approach,3200,200,Unknown bird,1,None,N,,Airport Operations,0,NO DMG. LOCATION REPTD AS 8NE KCHA.
SOUTHWEST AIRLINES,B-737-700,10/03/12 00:00:00,IL,CHICAGO MIDWAY INTL ARPT,Approach,50,140,Unknown bird - medium,1,None,N,,Pilot,0,NO DMG. SHORT FINAL.
SOUTHWEST AIRLINES,B-737-300,10/03/12 00:00:00,CA,SAN FRANCISCO INTL ARPT,Climb,4900,210,Unknown bird - small,1,None,N,,Pilot,0,
SOUTHWEST AIRLINES,B-737-300,10/03/12 00:00:00,TN,NASHVILLE INTL,Climb,200,150,Unknown bird - small,1,None,N,,Tower,0,
SOUTHWEST AIRLINES,B-737-700,10/03/12 00:00:00,,UNKNOWN,,,,Unknown bird - medium,1,None,N,,Pilot,0,"EVID OF BIRDSTRIKE ON ENG #2 ENG COWL, 11 O'CLOCK POSITION. NO EVID OF DMG OR INGESTION. NO ADVERSE ENG INDICATIONS OR SMELLS IN A/C. FOUND POSTFLT KSNA."
SOUTHWEST AIRLINES,B-737-700,10/03/12 00:00:00,LA,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,Approach,400,135,Unknown bird - small,1,None,N,,Pilot,0,
SOUTHWEST AIRLINES,B-737-700,10/03/12 00:00:00,CA,METRO OAKLAND INTL,Approach,50,130,Unknown bird - large,1,None,N,,Pilot,0,HIT NOSE AND NOSE EAR AND DEFLECTED INTO LT ENG.
SOUTHWEST AIRLINES,B-737-700,10/03/12 00:00:00,TX,SAN ANTONIO INTL,Approach,200,135,Unknown bird - small,1,None,N,,Pilot,0,SHORT FINAL.
SOUTHWEST AIRLINES,B-737,10/03/12 00:00:00,TX,SAN ANTONIO INTL,Approach,200,120,Indigo bunting,2-10,None,N,,Airport Operations,1,ID BY SMITHSONIAN.
SPIRIT AIRLINES,A-319,10/03/12 00:00:00,,UNKNOWN,,,,Perching birds (y),1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. INSUFFICIENT DIAGNOSTIC MATERIAL FOR MORE SPECIFIC INDENTIFICATION. MX CREW REPTD FEATHERS ON UINDERSIDE OF #2 ENG COWLING. CREW REPTD THEY WERE NOT AWARE OF STRIKE. FEATHER MATERIAL COLLECTED AND SENT TO SI FOR ID. FOUND KBOS.
UPS AIRLINES,B-767-300,10/03/12 00:00:00,,MARCO POLO INTL,Approach,1500,128,Unknown bird - small,1,None,N,,Air Transport Operations,0,UNDERSIDE TRAILING EDGE RT OUTBOARD FLAP INBOARD END.
UPS AIRLINES,A-300,10/03/12 00:00:00,TN,MEMPHIS INTL,Climb,5200,250,Unknown bird - medium,1,None,N,,Air Transport Operations,0,MARK ON LT SIDE OF FRWD FUSELAGE BY SEAT.
US AIRWAYS,A-319,10/03/12 00:00:00,TX,DALLAS/FORT WORTH INTL ARPT,Climb,100,150,Unknown bird - small,2-10,None,N,,,0,CREW REPTD BIRDSTRIKE ON T/O. A/C AT 100 FEET AND STRUCK SMALL BIRDS. CREW SUSPECTED STRIKE TO HAVE OCCURRED ON THE LOWER NOSE OF A/C. NO EFFECT ON FLT. ATIS WARNING.
US CUSTOMS AND BORDER PROTECTION,AEROS 350,10/03/12 00:00:00,,UNKNOWN,En Route,500,100,Unknown bird - small,1,None,N,,Air Transport Operations,1,NO DMG TO A/C.
VIRGIN AMERICA,A-320,10/03/12 00:00:00,CA,LOS ANGELES INTL,Climb,1200,250,Unknown bird - medium,1,None,N,,Airport Operations,0,"SMALL SMUDGE ON LOWER RT HAND PORTION OF RADOME. A/C INSPECTED ON ARRIVAL KBOS, NO DMG."
BUSINESS,C-680,10/03/12 00:00:00,CT,GROTON-NEW LONDON AR,Approach,10,100,Common nighthawk,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN.
BUSINESS,BELL-407,10/04/12 00:00:00,,UNKNOWN,En Route,2000,135,Unknown bird - small,1,None,N,,Pilot,0,NO DMG. PIECES OF BIRD IN PILOTS VENT.
AMERICAN AIRLINES,MD-83,10/04/12 00:00:00,NC,CHARLOTTE/DOUGLAS INTL ARPT,Approach,4000,210,Unknown bird - medium,1,Other,N,,Pilot,0,BLOOD AND REMAINS TOTALLY OBSCURED F/O AND CENTER WINDSHIELD. ENG PARAMETERS NORMAL. CAPT LANDED A/C UNEVENTFULLY. LOCATION REPTD AS 5 MILES S KCLT ON LT DOWNWIND.
AMERICAN AIRLINES,MD-82,10/04/12 00:00:00,TX,DALLAS/FORT WORTH INTL ARPT,Approach,1500,160,Unknown bird - small,1,None,N,,Pilot,0,SMALL BLOODY SMUDGE ON TOP OF RADOME ON CAPT SIDE. NO DMG NOTED BY AIRCREW. AAL MX PERFORMED REQUIRED POSTFLT INSPN AND FOUND NO DMG. A/C RETURNED TO SERVICE WITH NO DELAY. 5 MILE FINAL APRCH.
AMERICAN AIRLINES,B-737-800,10/04/12 00:00:00,,SAN PEDRO SULA LA MESA,Approach,200,140,Unknown bird - small,1,None,N,,Pilot,0,
AMERICAN AIRLINES,B-737-800,10/04/12 00:00:00,OK,TULSA INTL,Approach,1200,170,Wilson's snipe,1,None,N,,Airport Operations,1,"ID BY SMITHSONIAN. MET WITH PILOT WHO STATED AT 1200 FEET AND 4 MILES S OF KTUL, HE FELT A BIRD HIT JUST BELOW HIS SEAT. FOUND SNARGE ON LT SIDE OF A/C NOSE JUST BELOW PILOT. SNARGE COLLECTED AND PHOTOS TAKEN. NO DMG TO A/C."
AMERICAN AIRLINES,MD-82,10/04/12 00:00:00,NC,RALEIGH-DURHAM INTL,Approach,5000,210,Unknown bird,1,None,N,,Pilot,0,"UNKNOWN TYPE OR SIZE OF BIRD IMPACTED COPILOT WINDSHIELD WHILE ON RT DOWNWIND TO LANDING 23R AT 5500 MSL, 210 KIAS. LOCATION REPTD AS 5NM ABEAM FLD ON RT DOWNWIND."
BUSINESS,C-182 SKYLAN,10/04/12 00:00:00,VA,DANVILLE REGIONAL ARPT,Approach,5000,133,Unknown bird - small,1,None,M,97,Air Transport Operations,0,"SMALL DENT INTO L/E OF LT WING. GRAY/BROWN FEATHERS. LOCATION REPTD AS 10NM, E KDAN."
COMMUTAIR,DHC8 DASH 8,10/04/12 00:00:00,,UNKNOWN,,,,Unknown bird,1,None,N,,Air Transport Operations,0,CREW FOUND POSSIBLE STRIKE DURIN GPOSTFLT WALKAROUND KIAD. MX CONFIRMED STRIKE UPON INSPN. NO DMG NOTED. CAPT DID NOT KNOW WHEN STRIKE OCCURRED.
DELTA AIR LINES,A-319,10/04/12 00:00:00,,UNKNOWN,,,,American coot,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. LT FLAP.FOUND KSLC.
DELTA AIR LINES,A-319,10/04/12 00:00:00,NY,LA GUARDIA ARPT,Approach,4000,250,Swainson's thrush,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. STRIKE ON RT SIDE OF WINDSHIELD. NO DMG. PILOT DID NOT NOTICE BIRD UNTIL IT STRUCK A/C.
DELTA AIR LINES,B-757-200,10/04/12 00:00:00,,UNKNOWN,,,,Black-crowned night-heron,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. DURING MORNING A/C INSPN STRIKE FOUND BY F/O. A/C ARRIVED 10/4/12 AT 2053L AND REMAINED OVERNIGHT. MX LEAD SUPV STATES NO DMG TO A/C. FOUND KLGA.
DELTA AIR LINES,MD-88,10/04/12 00:00:00,AL,BIRMINGHAM-SHUTTLESWORTH INTL,Landing Roll,0,,Chimney swift,1,None,N,,Airport Operations,1,"ID BY SMITHSONIAN. ORIGINAL REPT TAKEN BY CONSTANT AVIATION. ""PERFORMED BIRDSTRIKE FOR A/C. NO DMG NOTED. COLLECT FEATHERS AND REPAMINS FROM PILOT""."
DELTA AIR LINES,MD-88,10/04/12 00:00:00,,UNKNOWN,,,,Wood thrush,1,None,N,,Airport Operations,1,"ID BY SMITHSONIAN. ORIGINAL REPT TAKEN BY CONSTANT AVIATION. ""PERFORMED BIRDSTRIKE INSPN. NO DMG TO A/C. COLLECTED BIRD REMAINS"". PHASE NOT REPTD, ASSUME FOUND AT KBHM."
EXPRESSJET AIRLINES,EMB-145,10/04/12 00:00:00,AR,BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,Take-off run,0,,Eastern meadowlark,1,None,,,Air Transport Operations,1,ID BY SMITHSONIAN.
GREAT LAKES AIRLINES,BE-1900,10/04/12 00:00:00,IA,MASON CITY MUNICIPAL,Approach,1300,160,Unknown bird,1,None,M,,Airport Operations,0,A/C WAS TURNING LT BASE TO RWY 30. BIRD STRUCK ON LT WING L/E. WING HAD A 2 INCH DENT IN L/E. STRIKE WAS DOWN CENTER PART OF WING ON THE OUTBOARD SIDE OF ENG.
JETBLUE AIRWAYS,EMB-190,10/04/12 00:00:00,,UNKNOWN,,,,Ovenbird,1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. GRND HANDLING SUPV NOTICED SNARGE ON NOSE CONE OF A/C AND NOTIFIED ARPT OPS AND TIMCO. SAMPLES SENT TO SI FOR ID. FOUND KHPN.
JETBLUE AIRWAYS,A-320,10/04/12 00:00:00,NY,JOHN F KENNEDY INTL,Approach,2000,210,Unknown bird - small,1,None,N,,Pilot,0,NO DMG. FINAL APRCH ILS.
MESA AIRLINES,CRJ900,10/04/12 00:00:00,NC,CHARLOTTE/DOUGLAS INTL ARPT,Approach,3750,210,Unknown bird - small,1,,N,,Pilot,0,INCIDENT ID 17536. AIRLINE PROVIDED INFO DIRECTLY TO DATABASE MGR WHO FILED REPT ONLINE.
BUSINESS,C-550,10/04/12 00:00:00,CA,JOHN WAYNE-ORANGE COUNTY ARPT,Approach,,,Unknown bird,1,,N,,Other,0,"ON 2 MILE FINAL, REPTD A BIRDSTRIKE. NO DMG."
PHI INC,EC135,10/04/12 00:00:00,TX,DALLAS LOVE FIELD ARPT,Descent,1100,120,Unknown bird,1,None,N,,Pilot,0,NO DMG FOUND BY MX. LOCATION REPTD AS APPROX 2 MILES N OF BAYLOR HOSPITAL.
PINNACLE,CRJ100/200,10/04/12 00:00:00,IN,SOUTH BEND REGIONAL,Landing Roll,0,80,Sparrows,1,None,N,,Airport Operations,1,BLOODY STREAK ACROSS RT SIDE OF RADOME. NO DMG.
PSA AIRLINES,CRJ700,10/04/12 00:00:00,KY,BLUE GRASS ARPT,Take-off run,0,,Unknown bird - small,1,None,,,Airport Operations,0,PILOT OF US2279 REPTD A BIRDSTRIKE TO ATCT MIDWAY DURING T/O ROLL. INSPECTION DID NOT REVEAL ANY CARCASS.
SOUTHWEST AIRLINES,B-737-700,10/04/12 00:00:00,FL,JACKSONVILLE INTL,Approach,500,140,Unknown bird - small,1,None,N,,Pilot,0,"FINAL APRCH. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1."
SOUTHWEST AIRLINES,B-737-300,10/04/12 00:00:00,MD,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,Approach,1000,120,Unknown bird - small,1,None,N,,Pilot,0,NO DMG. LOCATION REPTD AS 3NM KBWI.
SOUTHWEST AIRLINES,B-737-300,10/04/12 00:00:00,,UNKNOWN,,,,Unknown bird,1,None,N,,Pilot,1,"BIRDSTRIKE FOUND AFTER BEING PARKED KOAK. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1."
SOUTHWEST AIRLINES,B-737-800,10/04/12 00:00:00,NY,BUFFALO-NIAGARA INTL,Approach,100,145,Unknown bird - small,1,None,N,,Pilot,0,NO APPARENT DMG OR ABNORMAL SMELL OR ENG INDICATIONS.
UNITED AIRLINES,B-737-500,10/04/12 00:00:00,NC,RALEIGH-DURHAM INTL,Approach,2000,135,Unknown bird - small,1,None,N,,Pilot,0,PILOT REPTD BIRD STRIKING LOWER RT SIDE OF FUSELAGE. NO DMG OBSERVED.
UPS AIRLINES,B-767-300,10/04/12 00:00:00,KY,LOUISVILLE INTL ARPT-STANDIFORD FIELD,Approach,6500,250,Unknown bird - medium,1,None,N,,Air Transport Operations,0,DISTANCE FROM ARPT REPTD AS 25-30 MILES (TOOK AVERAGE).
US AIRWAYS,A-320,10/04/12 00:00:00,,UNKNOWN,,,,Perching birds (y),1,None,N,,Airport Operations,1,ID BY SMITHSONIAN. INSUFFICIENT MATERIAL FOR MORE SPECIFIC ID. SNARGE FOUND DURING ROUTINE WALKAROUND KLGA. PER AWE MX THERE WAS NO DMG TO A/C.
US AIRWAYS,A-319,10/04/12 00:00:00,PA,PITTSBURGH INTL ARPT,Approach,6000,,Unknown bird,1,None,N,,Pilot,0,"PILOT DID NOT SEE BIRD(S). NO DMG REPTD. RT FRONT UNDER WINDSHIELD. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1."
BUSINESS,CIRRUS SR 20/22,10/05/12 00:00:00,,UNKNOWN,,4000,115,Unknown bird - medium,1,None,N,,,0,"LOCATION REPTD AS 6NM, SW OF KDED."
BUSINESS,C-172,10/05/12 00:00:00,AZ,SCOTTSDALE ARPT,Approach,300,75,Unknown bird - small,1,None,N,,Pilot,0,JUST COSMETIC. NO DMG TO A/C. SHORT FINAL.
AMERICAN AIRLINES,B-767-200,10/05/12 00:00:00,,UNKNOWN,,,,Perching birds (y),1,,N,,Airport Operations,1,ID BY SMITHSONIAN. INSUFFIENT DIAGNOSTIC MATERIAL FOR MORE SPECIFIC ID. OPS RECVD CALL THAT OUTBOUND GRND CREW FOUND SNARGE APPROX 5 FEET FROM END OF WING. NO DMG TO A/C. SNARGE REMVD AND SENT TO SI FOR ID. FOUND PREFLT KJFK.
AMERICAN AIRLINES,MD-83,10/05/12 00:00:00,IL,CHICAGO O'HARE INTL ARPT,Approach,2000,170,Unknown bird - small,1,None,N,,Pilot,0,
AMERICAN EAGLE AIRLINES,EMB-145,10/05/12 00:00:00,TX,WACO REGIONAL ARPT,Approach,600,140,Unknown bird - small,1,None,N,,,0,ONLY BIRD RESIDUE. NO DMG NOTED. FINAL APRCH.
AMERIFLIGHT,PA-31-350,10/05/12 00:00:00,OR,ROBERTS FIELD ARPT,Take-off run,0,80,Sparrows,1,None,N,,Pilot,1,
BOEING COMMERCIAL AIRPLANE GRP,B-737,10/05/12 00:00:00,IL,WAUKEGAN REGIONAL ARPT,Climb,20,180,Red-tailed hawk,1,None,N,,Airport Operations,1,PILOT REPTD STRIKE ON T/O WITH NO DMG TO A/C.
BUSINESS,GULFSTREAM 200,10/05/12 00:00:00,DE,NEW CASTLE COUNTY,Landing Roll,0,,Barn swallow,1,None,N,,Airport Operations,1,
UNKNOWN,UNKNOWN,10/01/12 00:00:00,NJ,ATLANTIC CITY INTL,,,,Savannah sparrow,1,,,,Carcass Found,1,FOUND AT INTXN OF RWY 13/31 AND TWY C.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,TX,AUSTIN-BERGSTROM INTL,,,,Mourning dove,1,,,,Carcass Found,1,REMAINS REMVD FROM RWY 35L AT 6200 FEET DURING RWY INSPN.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,CA,MC CLELLAN-PALOMAR ARPT,,,,American kestrel,1,,,,Carcass Found,1,545 AM DAWN.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,NJ,NEWARK LIBERTY INTL ARPT,,,,Canada goose,1,,,,Carcass Found,1,WHILE CONDUCTING A ROUTINE FLD INSPN A CARCASS OF A CANADA GOOSE WAS FOUND APPROX 350 FEET E OF RWY 22L EXTENDED C/L. REMAINS FOUND OUTSIDE OF RWY SFTY AREA BUT BELIEVES THE GOOSE WAS STRUCK BY AN A/C DUE TO SMALL BLOOD STAIN ON UNDERSIDE OF BIRD. CARCASS WAS INTACT AND NO FEATHERS DMGD. NO PREVIOUS REPTS OF STRIKE AND LAST RWY INSPN OF 22L WAS 0719L. 0915 AM DAY.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,IN,FORT WAYNE INTL,,,,House sparrow,1,,,,Carcass Found,1,CARCASS REMVD FROM LT SIDE OF RWY 14 ADJT TO TWY 13.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,NY,WESTCHESTER COUNTY ARPT,,,,American kestrel,1,,,,Carcass Found,1,ID BY SMITHSONIAN. 915 AM DAY.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,MI,CAPITAL REGION INTL ARPT,,,,Eastern meadowlark,1,,,,Carcass Found,1,OBVIOUS BIRDSTRIKE REMAINS FOUND. NO STRIKE REPTD. 825 AM DAY.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,PA,PITTSBURGH INTL ARPT,,,,Striped skunk,1,,,,Carcass Found,1,ONE SKUNK REMVD FROM RWY 28R AT TWY B3 DURING FLD INSPN. 752 AM DAY.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,ME,PORTLAND INTL JETPORT (ME),,,,Northern flicker,1,,,,Carcass Found,1,REMAINS FOUND ON RWY 29 DURING ROUTINE INSPN. 1149 AM DAY.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,TN,MC GHEE TYSON ARPT,,,,American kestrel,1,,,,Carcass Found,1,"ID BY SMITHSONIAN. FAA 8745. MICRO. WHOLE FEATHER. RWY 5L/23R. 844 AM DAY. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1."
UNKNOWN,UNKNOWN,10/01/12 00:00:00,HI,KAHULUI ARPT,,,,Pacific golden-plover,1,,,,Carcass Found,1,CARCASS RETRIEVED BY AOC. FOUND ON THE 1000 FOOT LANDING MARKER ON RWY 5 WITH 4000 FEET REM. WS ON DUTY VERIFIED CARCASS WAS A LESSER PACIFIC GOLDEN PLOVER. NO STRIKE REPTD. 720 AM DAWN.
UNKNOWN,UNKNOWN,10/01/12 00:00:00,HI,HILO INTL ARPT,,,,Pacific golden-plover,1,,,,Carcass Found,1,A SINGLE PLOVER CARCASS FOUND AT THE 6000 FOOT REM OF RWY 26 BY ALC WHILE CONDUCTING MORNING RWY INSPN. CARCASS TURNED OVER TO WS. 449 AM NIGHT.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,ID,BOISE AIR TERMINAL/GOWEN FIELD,,,,American kestrel,2-10,,,,Carcass Found,1,BIRDS FOUND S OF 28R EDGELINE NEAR TWY C. REMAINS FOUND ON RWY 28R. 1640 PM DAY.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,VT,BURLINGTON INTL,,,,American kestrel,1,,,,Carcass Found,1,CARCASS FOUND ON ROUTINE RWY CK. NO STRIKE REPTD. 1015 AM DAY.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,VT,BURLINGTON INTL,,,,Field sparrow,1,,,,Carcass Found,1,FIELD SPARROW CARCASS FOUND ON ROUTINE RWY CK. NO STRIKE REPTD. 1015 AM DAY.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,VT,BURLINGTON INTL,,,,American kestrel,1,,,,Carcass Found,1,PIREP OF BIRD CARCASS ON RWY. NO STRIKE REPTD. BIRD WAS STRUCK. 1310 PM DAY.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,CO,DENVER INTL AIRPORT,,,,Horned lark,1,,,,Carcass Found,1,FOUND ON RWY. 1211 PM DAY.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,CO,DENVER INTL AIRPORT,,,,Horned lark,1,,,,Carcass Found,1,FOUND DURING REG RWY INSPN. 1354 PM DAY.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,TX,DALLAS/FORT WORTH INTL ARPT,,,,Killdeer,1,,,,Carcass Found,1,"DURING CFR 139 DAILY RWY SFTY INSPN PORT 110 REMVD 1 KILLDEER, 50 FEET W RWY C/L, 200 FEET N TWY Q8. 811 AM DAY."
UNKNOWN,UNKNOWN,10/02/12 00:00:00,TX,DALLAS/FORT WORTH INTL ARPT,,,,American kestrel,1,,,,Carcass Found,1,ID BY SMITHSONIAN. REMAINS FOUND 150 FEET N OF TWY B C/L AND 100 FEET W OF RWY 35C C/L.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,MI,DETROIT METRO WAYNE COUNTY ARPT,,,,Yellow warbler,1,,,,Carcass Found,1,"ONE YELLOW WARBLER FOUND DURING ROUTINE RWY CLOSURE, 3000 FEET FROM THE 3L APRCH. NO STRIKE REPTD. 1307 PM DAY."
UNKNOWN,UNKNOWN,10/02/12 00:00:00,CO,MONTROSE REGIONAL ARPT,,,,Rock pigeon,1,,,,Carcass Found,1,BIRD CARCASS FOUND ON RWY 13 ADJ 5000 DIST MARKER. BIRD APPEARED TO BE PARTIALLY EATEN. 815 AM DAY.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,WA,GRANT COUNTY ARPT,,,,Horned lark,1,,,,Carcass Found,1,FOUND STRUCK BIRD ON RWY NEAR THE 8000 REM AREA.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,IL,CHICAGO O'HARE INTL ARPT,,,,Mourning dove,1,,,,Carcass Found,1,OPS FOUND ON RWY 1200 FEET FROM 14L THRESHOLD DURING INSPN. ID BY WS.
UNKNOWN,UNKNOWN,10/02/12 00:00:00,NJ,TETERBORO AIRPORT,,,,American kestrel,1,,,,Carcass Found,1,"ON RWY 24, 100 FEET S OF TWY C. NOTAM ISSUED. 1415 PM DAY."
UNKNOWN,UNKNOWN,10/02/12 00:00:00,MI,CHERRY CAPITAL ARPT,,,,Horned lark,1,,,,Carcass Found,1,ID BY SMITHSONIAN. REMAINS FOUND APPROX 45 FEET S OF C/L OF RWY 28 AND 700 FEET E OF TWY B ON RWY 28. PINNACLE FLT HAD JUST LANDED AND CARCASS WAS NOT OBSERVED DURING THE EARLIER  PORTIONS OF THE DAY. NOTIFIED PINNACLE.
